date,source,text
2023-11-01,Business Insider,"If you're considering opening a savings account or CD today and want a competitive rate, Insider did the research to help you find the best rate across popular savings accounts and CD terms."
2023-11-01,Business Insider,China's slowing economy and the war between Israel and Hamas are spooking top American executives despite the US's stellar GDP numbers.
2023-11-01,Business Insider,"An Amazon business analyst was laid off in January. About a month later, the worker got asked about going back. ""I can't do it,"" the worker said."
2023-11-01,Boing Boing,"Casey Bloys, Chairman and CEO of ""HBO and Max Content,"" marshalls an army of secret sockpuppet accounts on Twitter to attack television critics with. The surprisingly pathetic, time-wasting behavior is revealed in an exposé by Cheyenne Roundtree just publishe…"
2023-11-01,VentureBeat,"At GamesBeat Next 2023, industry leaders break down the reason developers are approaching blockchain with the wrong mindset and more."
2023-11-01,Hackaday,"I never feel like I have enough space in my workshop. The promise of consolidating tools to make the most of limited space drew me to the Snapmaker Artisan, a plus-sized 3-in-1 tool combining 3D pr…"
2023-11-01,Boing Boing,"When Tucker Carlson was fired from Fox News, the channel lost its biggest star. Conspiracy theories exploded about why it would do such a thing, so sloppily and suddenly. Was it a condition of its epic settlement with Dominion Voting Systems? — Read the rest"
2023-11-01,HuffPost,The “Full House” star recalls a deflating crowd response during his guest appearance on “Friends” and how Perry saved him from quitting the business.
2023-11-01,HuffPost,"The first Black president of the American Museum of Natural History is pulling a large portion of ""artifacts"" from display."
2023-11-01,ESPN,Caitlin Clark led Iowa to new heights and became a sports superhero in the Midwest with one of the game's greatest NCAA tournament runs. What's next?
2023-11-01,Gizmodo.com,"Illustration: Muppet
Last week, the season two finale of Our Flag Means Death aired on Max. The eight-episode season was marked by incredible acting, a mix of goofy swashbuckling and brutal nose-peeling mutilation, and an encompassing acceptance of queerness…"
2023-11-01,Huggingface.co,We’re on a journey to advance and democratize artificial intelligence through open source and open science.
2023-11-01,9to5Mac,"Tomorrow will see the announcement of AAPL Q4 2023 earnings, at a time when hardware revenue has been falling, and Apple itself has warned investors to expect big year-on-year drops in iPad and Mac sales.



While Apple suggested that the previous quarter mig…"
2023-11-01,Vice News,"In 2007, Canada started requiring all vehicles to have a cheap, effective anti-theft device. The U.S. didn't. Now, it is paying the price with a surge in Kia and Hyundai thefts."
2023-11-01,AppleInsider,"Saying that other analysts have a ""negative groupthink mentality"" about Apple's iPhone earnings, Wedbush believes the reality is very different.Apple ParkIn September 2023, Wedbush raised its price target for Apple to $240, based on the iPhone 15's ""impressiv…"
2023-11-01,CNET,"This Granite State city doesn’t rock when it comes to broadband, but it still has a few good options. Here are CNET’s top picks to help you stay connected."
2023-11-01,Windows Central,"The BenQ ideaCam S1 Pro doesn't boast exceptional video quality at this price, but it can do more than the average webcam. Our full review."
2023-11-01,MakeUseOf,Strava Beacon means you never have to hike or bike alone again.
2023-11-01,DIYphotography,"I've always been fascinated by timelapse videos, perhaps because my patience is dwindling as I grow older.
Anyhow, I wanted to capture memories of an event where I wouldn't have been able to take pictures, and none of my family members could join me to help. …"
2023-11-01,Thedailywtf.com,"Let's say you were browsing through some code, and saw a function signature like this:
function changeUTF16( $string )

What do you think that function does? Given the name, I suspect it converts a UTF-16 string into some other encoding, or perhaps it changes…"
2023-11-01,GameSpot,"RoboCop: Rogue City is a love letter to the 36-year-old sci-fi franchise. Teyon, the studio behind Terminator: Resistance and Rambo: The Video Game, clearly has a soft spot for '80s action movies, and this reverence is woven into the very fabric of Rogue City…"
2023-11-01,Mental Floss,It’s often said the dreidel was a way Jewish people communicated their faith during ancient times of oppression. But the Hanukkah game is actually a lot more recent.
2023-11-01,The A.V. Club,"Friendly reminder that network executives have feelings too. It’s just that, unlike most of us, network executives can mobilize a “secret army” to fight back against their online haters. (They should make those for low-level digital media employees!) That’s t…"
2023-11-01,The A.V. Club,"Can Marvel survive its current struggles? Probably, but the situation is stressful enough that it reportedly has Kevin Feige sweating. A new report from Variety gives some insight into how Marvel Studios has reacted to the diminishing critical and commercial …"
2023-11-01,Cracked.com,Topical punchlines that have somehow stood the test of time
2023-11-01,iMore,"The latest MacBook Pro already has some great deals, and there aren't many better than this one at Best Buy."
2023-11-01,iMore,A Weather Lock Screen widget on iPhone is showing a broken file icon instead of snow for those running iOS 17.1.
2023-11-01,Techdirt,"The Trump era was very, very good to the country’s giant telecom monopolies. Trump officials doled out billions in tax breaks (AT&T nabbed $42 billion alone) and billions more in poorly tracked subsidies. It also approved anticompetitive mergers without even …"
2023-11-01,Techdirt,"Jamal Khashoggi, a dissident journalist often critical of the Saudi government, was murdered by Saudi government agents while inside the Saudi consulate in Istanbul, Turkey. He wasn’t just murdered. His body was dismembered. All of this was captured by hidden…"
2023-11-01,Techdirt,"There are now a bunch of these lawsuits accusing AI companies of some sort of copyright infringement for training their models on works of plaintiffs. However, the first high profile one was the case brought by Sarah Andersen, Kelly McKernan, and Karla Ortiz …"
